case,design_id,design_index,style,day,source_time_index,grid_nx,grid_ny,grid_point_count,trigger_primary_converged,trigger_primary_verified_l2_residual,converged,iterations,reported_residual,verified_l2_residual,verified_linf_residual,lambda_0,lambda_1,lambda_2,lambda_3,lambda_norm,kl_divergence,intrinsic_ess,log10_intrinsic_ess,covariance_min_eigenvalue,covariance_max_eigenvalue,covariance_condition_regularized,maximum_quadrature_weight
0,design_000017,17,support_random,2.5,10,128,68,8704,False,0.0009032043873529446,True,20,6.637239290412217e-13,6.632265067615208e-13,5.180023077144824e-13,12.129545235222617,5849.714945816162,97.19335768554882,33.69822596429577,5850.631948121838,9.51932070556881,0.0,-2399.811488844113,6.133355409770488e-07,0.07507845885977801,122410.0899448421,0.09732656671622389
0,design_000017,17,support_random,2.5,10,256,136,34816,False,0.0009046165854686888,True,14,4.1285589489305145e-13,4.1284772191615476e-13,3.217981436876016e-13,12.121016708698361,5839.721388311141,97.32141629629055,33.763298375050546,5840.642450153213,9.524058725769045,0.0,-2398.1022079366676,6.037853989328472e-07,0.07500563931716693,124225.65919200766,0.027771518558710063
0,design_000017,17,support_random,2.5,10,512,272,139264,False,0.0009046165716773137,True,14,3.804871541969387e-13,3.821241249793745e-13,2.961519918187605e-13,12.1210164825419,5839.58484277507,97.32141534203015,33.763297475377605,5840.505926129131,9.52405858227384,0.0,-2397.0366618929675,6.048208114981647e-07,0.07500564103373696,124012.99605404296,0.007059478169365752
1,design_000024,24,support_random,2.5,10,128,68,8704,False,0.2171082710050072,True,10,6.844768356689297e-13,6.839992717507816e-13,5.525579993559404e-13,-1.6587340921895029,555.0834788713446,-34.130887273276336,4.947834800899338,556.1562895895191,13.22572342942501,3.130532303618021e-125,-124.5043818104188,9.726235153996003e-05,0.04915637185703369,505.3997880807303,0.12253798988159272
1,design_000024,24,support_random,2.5,10,256,136,34816,False,0.21732476273532808,True,8,2.200242859555111e-10,2.2002435983556274e-10,1.8090937081716163e-10,-1.7184681057312199,554.8746186978952,-34.15331413855526,4.931604663441885,555.9492469632173,13.229078599825552,6.799285688643644e-125,-124.167536710496,9.615773319212887e-05,0.049140294152947336,511.0384003567562,0.033764463610860544
1,design_000024,24,support_random,2.5,10,512,272,139264,False,0.21732476741527074,True,8,2.2064068151896148e-10,2.2064183422174739e-10,1.8141496638257593e-10,-1.7184683857360716,554.8746181543519,-34.15331441938732,4.931604667625077,555.9492464388794,13.229078565111307,6.829162611258668e-125,-124.16563254604105,9.615774098171368e-05,0.04914029400273455,511.03835739620297,0.008403520463633818
2,design_000107,107,support_random,2.5,10,128,68,8704,False,0.18835929466308116,True,21,8.237467435322653e-09,8.2374673924696e-09,7.861693669688323e-09,-2.9852148647364967,26.26308065124864,9748.217239702288,770.7938945065497,9778.678910832,30.647291023683245,0.0,-4041.7623466981754,2.48281055157093e-09,0.032219640524918616,12977078.548121598,0.15344604578856438
2,design_000107,107,support_random,2.5,10,256,136,34816,False,0.188787780305299,True,322,9.939317479909857e-09,9.939318520363156e-09,7.865907203363776e-09,-9.731252912125154,25.129472793516094,-147293973.09015888,807.4644820299276,147293973.09237462,30.863513303750278,1.580259105234843e-144,-143.80127169864812,8.12158440380733e-18,0.0340631149785047,33788697222121.547,0.038116801320246675
2,design_000107,107,support_random,2.5,10,512,272,139264,False,0.18878777786041007,True,18,5.332735771260058e-09,5.332735773390143e-09,5.072373883228955e-09,-3.0297771596014567,26.305020648938683,9437.405382294251,771.1449313825107,9468.89571114892,30.65866776633069,0.0,-3807.5157843666534,1.5877419098211965e-16,0.032247039786366866,27828579577731.938,0.010167603044379234
3,design_000159,159,support_random,2.5,10,128,68,8704,False,0.009309718160273742,True,15,9.155898616385123e-09,9.155898334269186e-09,8.279970809682569e-09,162.54719860112635,61.83329379543054,505.8298963282179,10710.738096522738,10724.085947264579,14.00114854608253,0.0,-4449.419740885113,1.8357080438549348e-09,0.023385278639451737,12739098.67020339,0.26154104697407704
